SMILES,MolWt,LogP,HBD+HBA,TPSA,RotatableBonds,LogS
CC(C)=CCCC(O)(C)C=C,154.253,2.6698000000000013,2,20.23,4,0.5106651126365768
CC(C)CC(=O)C,100.16099999999999,1.6215,1,17.07,2,1.1073743783016439
CCN2c1ncccc1N(C)C(=S)c3cccnc23 ,270.361,2.759900000000001,4,32.260000000000005,1,-0.7514943260981732
Nc3nc(N)c2nc(c1ccccc1)c(N)nc2n3,253.26900000000003,0.8334000000000001,10,129.62,1,0.3130350038483066
CCC(C)(C)CO,102.17699999999998,1.4149,2,20.23,2,0.9641641545420278
CCCC#C,68.11899999999999,1.4197,0,0.0,1,0.6777437070227956
c1nccc(C(=O)NN)c1,137.14200000000002,-0.3149000000000001,5,68.01,1,1.4649225702881519
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,384.4870000000002,5.005300000000004,8,36.92,12,-1.1839892018522136
Clc1cccc(Cl)c1,147.004,2.993400000000001,0,0.0,0,0.009429329477920443
CCOc1ccc(NC(N)=O)cc1,180.20699999999997,1.5758999999999999,4,64.35,3,0.42473897838080715
O=C1N(C2CCC(=O)NC2=O)C(=O)c3ccccc13,258.233,0.08779999999999949,5,83.55000000000001,1,0.1831910676395879
Cc1cccc(C)c1O,122.16699999999999,2.00904,2,20.23,0,0.8448223014090143
CCN(CC)C(=S)SSC(=S)N(CC)CC,296.5520000000001,3.6212000000000026,4,6.48,4,-0.8593793613304173
C1CCCC1,70.135,1.9505000000000001,0,0.0,0,0.20037629449074185
CCCCCCCCl,134.65,3.1956000000000016,0,0.0,5,-0.448843386552851
Cn1cnc2n(C)c(=O)[nH]c(=O)c12 ,180.16699999999997,-1.0397,6,72.68,0,0.25622828175699214
CCCCCC(C)(C)O,130.231,2.3376000000000006,2,20.23,4,0.6395543140202312
CC(=C)C,56.108000000000004,1.5824,0,0.0,0,0.3483601923756785
CC1CC(C)C(=O)C(C1)C(O)CC2CC(=O)NC(=O)C2 ,281.35200000000003,1.0414999999999999,6,83.47,3,0.921201087414143
CC(Cl)Cl,98.96000000000001,1.81,0,0.0,0,0.8448223014090143
CN2C(=C(O)c1ccccc1S2(=O)=O)C(=O)Nc3ccccn3 ,331.353,1.5810000000000002,7,99.60000000000001,2,-0.5252221725579796
ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,318.0300000000001,6.187900000000003,0,0.0,2,-1.8332088828958066
CC(=O)OC3(CCC4C2CCC1=CC(=O)CCC1C2CCC34C)C#C,340.4630000000001,4.0633000000000035,3,43.370000000000005,1,-0.8307373165784938
Nc2cnn(c1ccccc1)c(=O)c2Cl,221.647,1.4681,5,60.91,1,0.0867628503081131
CNC(=O)ON=C(CSC)C(C)(C)C ,218.32199999999997,2.1075,5,50.69,3,0.6872910552734366
O=c2[nH]c(=O)c1[nH]c(=O)[nH]c1[nH]2 ,168.112,-1.7672000000000003,7,114.36999999999998,0,-0.41542766767560735
CC(Cl)CCl,112.98700000000001,1.8525,0,0.0,1,0.6968384035240777
CC(C)c1ccccc1C,134.22199999999995,3.118420000000002,0,0.0,1,-0.33427520754515805
CCC1(CCC(=O)NC1=O)c2ccccc2 ,217.268,1.771,3,46.17,2,0.34501862048795406
O=C(Cn1ccnc1N(=O)=O)NCc2ccccc2,260.253,1.1077,6,90.06,5,0.11922383436029277
c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,252.31599999999997,5.737200000000003,0,0.0,0,-2.742116436356837
CCCCCO,88.14999999999999,1.1689,2,20.23,3,1.1742058160561313
Fc1cccc(F)c1C(=O)NC(=O)Nc2ccc(Cl)cc2,310.687,3.5801000000000016,4,58.2,2,-1.4131255598675991
CCOP(=S)(OCC)SCCSCC,274.413,3.7702000000000027,5,18.46,9,-0.5586378914352236
CC(C)(C)c1ccc(O)cc1,150.22099999999998,2.689700000000001,2,20.23,0,0.3101707993731142
O(c1ccccc1)c2ccccc2,170.211,3.478900000000002,1,9.23,2,-0.42974869005156885
c1cnc2c(c1)ccc3ncccc23,180.20999999999998,2.7830000000000004,2,25.78,0,0.1812815979894597
CC(C)C(C)C(C)C,114.23199999999999,2.9345000000000017,0,0.0,2,-0.8307373165784938
CCC(Br)(CC)C(=O)NC(N)=O,237.09699999999998,1.1349999999999998,4,72.19,3,0.1812815979894597
COc1nc(NC(C)C)nc(NC(C)C)n1,225.296,1.5208,8,71.96000000000001,5,0.2777098153209345
BrCCBr,187.862,1.7762,0,0.0,1,0.6586490105215135
CC(=O)Nc1nnc(s1)S(N)(=O)=O ,222.251,-0.8561000000000003,8,115.03999999999999,2,0.334039169999717
ClCC#CCOC(=O)Nc1cccc(Cl)c1,258.104,3.130700000000001,3,38.33,2,-0.6254693291897109
CCCCCBr,151.047,2.5715000000000012,0,0.0,3,-0.00966536702336172
ClC1CC2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,409.7819999999999,5.682800000000001,0,0.0,0,-1.8141141863945245
NC(N)=NC#N ,84.082,-1.2591199999999998,4,88.19,0,1.312642365690427
CC(=O)OC3(C)CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C ,344.4950000000001,4.840100000000005,3,43.370000000000005,1,-1.0617831442440078
CC1CCCCC1NC(=O)Nc2ccccc2,232.32700000000003,3.386800000000001,3,41.13,2,-0.5013538019313771
CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C,349.43000000000006,5.268980000000004,4,59.32000000000001,5,-1.4155123969302599
c3ccc2c(O)c1ccccc1cc2c3 ,194.23299999999998,3.6986000000000017,2,20.23,0,-0.7973215977012503
CNC(=O)C=C(C)OP(=O)(OC)OC,223.16499999999996,1.0536999999999999,6,73.86,5,1.7713924491337303
NC(=N)NS(=O)(=O)c1ccc(N)cc1 ,214.25,-0.5594299999999999,8,122.05999999999999,2,0.5106651126365768
CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO,330.4680000000001,3.695900000000003,4,54.370000000000005,2,-0.18629130966022162
CCCCCC#C,96.17299999999999,2.1999000000000004,0,0.0,3,0.02375035185388217
CN(C)C(=O)Oc1cc(C)nn1c2ccccc2,245.282,2.2411200000000004,4,47.36000000000001,2,0.46292837138337145
CCSSCC,122.258,2.4076000000000004,2,0.0,3,0.3053971252477937
COP(=S)(OC)Oc1ccc(SC)c(C)c1,278.335,3.6130200000000023,5,27.69,5,-0.7209428116961217
Cc1cccc(C)c1,106.16799999999999,2.30344,0,0.0,0,0.11445016023497233
CCCCCCC#C,110.19999999999999,2.5900000000000007,0,0.0,4,-0.28653846629195284
Clc1c(Cl)c(Cl)c(c(Cl)c1Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl ,498.66200000000026,9.887599999999999,0,0.0,1,-4.076835721796459
ClCCC#N ,89.525,1.1388800000000001,1,23.79,1,1.3221897139410679
CCSC(=O)N(CC)C1CCCCC1 ,215.36199999999994,3.5141000000000027,2,20.310000000000002,3,-0.16242293903361882
c2ccc1nc(ccc1c2)c4ccc3ccccc3n4 ,256.308,4.450000000000003,2,25.78,1,-1.1171577640977264
O=C1NC(=O)NC(=O)C1(CC)CCC(C)C,226.27599999999995,1.1849999999999992,5,75.27000000000001,4,0.191783681065165
CCOC(=O)CC,102.133,0.9595,2,26.3,2,1.145563771304208
CCN2c1nc(Cl)ccc1N(C)C(=O)c3cccnc23 ,288.73800000000006,2.878000000000001,4,49.330000000000005,1,-0.5032632715815051
Cn1c(=O)n(C)c2nc[nH]c2c1=O,180.16699999999997,-1.039700000000001,6,72.68,0,0.797085560155809
CCCCSP(=O)(SCCCC)SCCCC,314.5220000000001,6.694400000000005,4,17.07,12,-0.993042236839392
CCCCC(CC)C=O,128.21499999999997,2.401700000000001,1,17.07,5,0.4438336748820893
CCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,224.26,0.9609999999999999,5,75.27000000000001,4,0.4982535599107434
CCN(CC)C(=O)CSc1ccc(Cl)nn1,259.762,2.0904999999999996,4,46.09,5,0.6414637836703595
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,416.30400000000014,6.177980000000004,4,59.32000000000001,6,-2.366428282694111
CCCSCCC,118.24499999999999,2.539600000000001,1,0.0,4,0.2290183392426651
c1ccc(cc1)c2ccc(cc2)c3ccccc3,230.31,5.0206000000000035,0,0.0,2,-1.9334560395275378
c1ccnnc1,80.08999999999999,0.4765999999999999,2,25.78,0,1.9857304173606225
CC(C)CC(C)(C)C,114.23199999999999,3.0786000000000016,0,0.0,1,-0.8020952718265708
ClC(Cl)C(Cl)(Cl)SN2C(=O)C1CC=CCC1C2=O ,349.06600000000014,3.520900000000001,3,37.38,3,-1.1171577640977264
CCN(Cc1c(F)cccc1Cl)c2c(cc(cc2N(=O)=O)C(F)(F)F)N(=O)=O,421.7340000000001,5.340800000000003,5,89.51999999999998,6,-1.7759247933919602
CN(=O)=O,61.040000000000006,-0.10710000000000008,2,43.14,0,1.5847417908336976
C1CCC=CCC1,96.173,2.5067000000000004,0,0.0,0,-0.057402108276567124
CCCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl,342.2260000000001,3.653400000000003,5,49.17,5,-0.2068181083991
COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl,345.6529999999999,5.205900000000002,2,18.46,4,-1.8284352087704858
Nc1ncnc2nc[nH]c12 ,135.13,-0.0648999999999999,6,80.47999999999999,0,0.44860734900740973
COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl ,261.919,4.014400000000001,3,29.46,1,-0.4583907348034919
Cc1ccc(cc1)S(=O)(=O)N,171.22099999999998,0.6424200000000001,3,60.16,1,0.6300069657695901
OC(c1ccc(Cl)cc1)(c2cncnc2)c3ccccc3Cl,331.202,4.0676000000000005,4,46.010000000000005,3,-0.6302430033150314
CC(C)=CCC/C(C)=C\CO,154.253,2.6714000000000016,2,20.23,4,0.2863024287465116
CCCC(O)C=C,100.16099999999999,1.3334,2,20.23,3,1.1789794901814519
CSC,62.137,0.9792,1,0.0,0,1.2458109279359393
Brc1ccc(I)cc1,282.90599999999995,3.053700000000001,0,0.0,0,-0.7161691375708009
CC45CCC2C(CCC3CC1SC1CC23C)C4CCC5O,306.51500000000004,4.483900000000005,3,20.23,0,-1.1219314382230468
c1ccc2c(c1)c3ccccc3c4ccccc24,228.29399999999998,5.146200000000003,0,0.0,0,-1.7501469531152292
Oc1cccc2ccccc12,144.17299999999997,2.5454000000000008,2,20.23,0,0.40087060775420436
COc1ccccc1O,124.13899999999997,1.4008,3,29.46,1,0.5249861350125384
CCCN(CCC)c1c(cc(cc1N(=O)=O)C(C)C)N(=O)=O,309.36600000000004,4.252800000000004,5,89.51999999999998,8,-1.6374882437576648
CN(C)C(=O)NC1CC2CC1C3CCCC23,222.33199999999994,2.0822999999999996,2,32.34,1,-0.05310580156377869
CC(C)C(C)C,86.178,2.2984,0,0.0,1,-0.2817647921666322
OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O,342.297,-5.397199999999993,19,189.52999999999997,4,1.3441486149175423
CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,345.4010000000002,3.8896000000000033,6,56.790000000000006,8,-0.5414526645840694
Cc1c2ccccc2c(C)c3ccccc13,206.28799999999998,4.609840000000004,0,0.0,0,-1.675677636760229
CCC#CCC,82.14599999999999,1.8098,0,0.0,0,0.5106651126365768
CC4CC3C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC3(C)C4(O)C(=O)COC(C)=O ,434.5040000000003,2.466500000000001,8,100.9,3,-0.8784740578316995
OCCCC=C,86.134,0.9449,2,20.23,3,1.3890211516955555
CCCCCCc1ccccc1,162.276,3.809400000000003,0,0.0,5,-1.026457955716636
CC=C(C)C,70.13499999999999,1.9725,0,0.0,0,0.23856568749330617
Oc2cc(O)c1C(=O)CC(Oc1c2)c3ccc(O)c(O)c3,288.255,2.2155000000000005,10,107.22000000000001,1,-0.2674437697906707
CCCCCCCBr,179.101,3.351700000000002,0,0.0,5,-0.654111373941634
COC(=O)c1ccccc1C(=O)OC,194.18599999999995,1.2597999999999998,4,52.60000000000001,2,0.6681963587721546
CCC(=O)OC3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C ,344.4950000000001,4.840100000000005,3,43.370000000000005,2,-1.1028367417217646
CCOC(=O)C,88.106,0.5694,2,26.3,1,1.4415315670740814
CC(C)(C)CO,88.14999999999999,1.0248,2,20.23,0,1.269679298562542
CC(C)Cc1ccccc1,134.22199999999998,2.8851000000000013,0,0.0,2,-0.5061274760566975
O=C1CCCCC1,98.14500000000001,1.5196,1,17.07,0,1.1742058160561313
CCCCBr,137.01999999999998,2.1814,0,0.0,2,0.32926549587439635
Clc1ccc(Cl)c(c1)c2c(Cl)c(Cl)cc(Cl)c2Cl ,360.88200000000006,7.274000000000001,0,0.0,1,-2.081439937412475
Clc1ccccc1Cl,147.00399999999996,2.9934000000000003,0,0.0,0,0.004655655352600008
NC(=S)N,76.12400000000001,-0.8113000000000001,3,52.04,0,1.6133838355856205
COCC(=O)N(C(C)C(=O)OC)c1c(C)cccc1C ,279.336,1.8443399999999999,4,55.84,5,0.6963610361115457
CC(=O)OC3(CCC4C2C=C(C)C1=CC(=O)CCC1(C)C2CCC34C)C(C)=O ,384.5160000000002,4.575300000000004,4,60.440000000000005,2,-1.0932893934711232
CNc2cnn(c1cccc(c1)C(F)(F)F)c(=O)c2Cl,303.67100000000005,2.9464000000000006,5,46.92,2,-0.4708022875293256
CCCCOC(=O)c1ccccc1C(=O)OCCCC ,278.348,3.600400000000003,4,52.60000000000001,8,-0.6397903515656727
CN(C)C=Nc1ccc(Cl)cc1C,196.68099999999998,2.8698200000000007,1,15.6,2,0.09535546373369018
CCOC(=O)CC(=O)OCC,160.16899999999998,0.5027,4,52.60000000000001,4,1.0691849852990796
CCCCc1c(C)nc(NCC)nc1OS(=O)(=O)N(C)C ,316.4270000000001,1.74462,7,84.42,8,-0.5252221725579796
Clc1ccc(Br)cc1,191.45499999999998,3.102500000000001,0,0.0,0,-0.2722174439159911
Cc1cc(C)c(C)c(C)c1C,148.249,3.2287000000000017,0,0.0,0,-0.448843386552851
CCCCCCl,106.596,2.415400000000001,0,0.0,3,0.1574132273628571
CCCCCCC(=O)C,128.21499999999997,2.5458000000000007,1,17.07,5,0.48202306788465366
CCCC(=O)C,86.13399999999999,1.3755,1,17.07,2,1.3699264551942734
CN(C)C(=O)Nc1ccc(Cl)cc1,198.653,2.4335000000000004,2,32.34,1,0.08103444135772844
CC(C)C(C)O,88.14999999999999,1.0231999999999999,2,20.23,1,1.3747001293195937
Cc1cc(cc(N(=O)=O)c1O)N(=O)=O,198.134,1.5170200000000003,6,106.51000000000002,2,0.7655793109286935
Oc1cc(Cl)c(Cl)c(Cl)c1Cl,231.893,4.0058,2,20.23,0,-0.043081085900605394
CCOP(=S)(OCC)Oc1ccc(cc1)S(C)=O ,308.36100000000005,3.1003000000000016,5,44.760000000000005,7,0.3626812147516402
CCC(C)(C)C,86.17799999999998,2.442500000000001,0,0.0,0,-0.2340280509134268
CCCCCC(O)CC,130.23099999999997,2.3376,2,20.23,5,0.5154387867618974
CCC(CC)C=O,100.16099999999999,1.6215,1,17.07,3,0.735027796526642
O=C1NC(=O)NC(=O)C1(CC)CC,184.19499999999996,0.15879999999999939,5,75.27000000000001,2,0.31494447349843485
c1(O)cc(O)ccc1CCCCCC,194.27399999999992,3.220600000000001,4,40.46,5,0.22424466511734467
Cl\C=C/Cl,96.94400000000002,1.9352,0,0.0,0,0.8400486272836938
Brc1cccc(Br)c1,235.90599999999998,3.2116000000000007,0,0.0,0,-0.22925437678810637
O=c1[nH]cnc2nc[nH]c12 ,136.114,-0.35380000000000006,5,74.43,0,0.36459068440176845
ClC(Cl)(Cl)C(NC=O)N1C=CN(C=C1)C(NC=O)C(Cl)(Cl)Cl ,430.9340000000001,2.431,6,64.68,6,-0.5395431949339414
Cc1ccc(N)cc1,107.156,1.5772199999999998,2,26.02,0,0.8830116944115787
ClCC(Cl)Cl,133.405,2.0289,0,0.0,1,0.7541224930279241
c3ccc2nc1ccccc1cc2c3,179.22199999999998,3.3880000000000017,1,12.89,0,-0.29131214041727327
CCN2c1cc(OC)cc(C)c1NC(=O)c3cccnc23 ,283.331,3.122320000000001,5,54.46,2,-0.9992480132023087
CCOC(=O)c1cncn1C(C)c2ccccc2,244.294,2.669100000000001,4,44.12,4,-0.7997084347639106
CC(C)C(Nc1ccc(cc1Cl)C(F)(F)F)C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,502.9200000000002,7.395680000000005,6,71.35,8,-2.359745138918662
Clc1cc(Cl)c(cc1Cl)c2cccc(Cl)c2Cl ,326.437,6.620600000000001,0,0.0,1,-1.981192780780743
CCCCCC(=O)OC,130.18699999999998,1.7397,2,26.3,4,0.5679492021404231
ICI,267.835,1.8139,0,0.0,0,0.3435865182503581
CC(=O)OCC(=O)C3(O)CCC4C2CCC1=CC(=O)C=CC1(C)C2C(O)CC34C ,402.48700000000014,2.1284,8,100.90000000000002,3,-0.6254693291897109
CNC(=O)Oc1ccc(N(C)C)c(C)c1,208.26099999999997,1.77922,4,41.57,2,0.334039169999717
CCC1(C(=O)NC(=O)NC1=O)C2=CCCCC2 ,236.27099999999993,1.2491999999999999,5,75.27000000000001,2,0.42473897838080715
CC1=C(SCCO1)C(=O)Nc2ccccc2,235.30800000000002,2.620000000000001,4,38.33,2,-0.03830741177528496
CC12CCC3C(CCc4cc(O)ccc34)C2CCC1O,272.388,3.6092000000000026,4,40.46,0,-0.9405318214608663
CC1OC(CC(O)C1O)OC2C(O)CC(OC2C)OC8C(O)CC(OC7CCC3(C)C(CCC4C3CCC5(C)C(CCC45O)C6=CC(=O)OC6)C7)OC8C ,764.9499999999999,3.247300000000002,18,182.82999999999998,7,-1.0660794509567961
CCC(C)CO,88.14999999999999,1.0248,2,20.23,2,1.236263579685298
CCCCCC1CCCC1,140.26999999999998,3.7569000000000026,0,0.0,4,-1.4417676046195227
Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cc(Cl)cc2Cl ,360.88200000000006,7.274000000000001,0,0.0,1,-2.697243899578824
CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,233.09799999999998,3.0869000000000018,2,32.34,1,-0.3533699040464402
Clc1cccc(c1)N(=O)=O,157.55599999999998,2.2482000000000006,2,43.14,1,0.13831853086157495
COP(=O)(NC(C)=O)SC ,183.16899999999998,1.24,5,55.4,3,1.7184046663426724
C1CCCCCC1,98.18900000000001,2.7307000000000015,0,0.0,0,-0.21493335441214464
ClCc1ccccc1,126.58599999999996,2.4254000000000007,0,0.0,1,0.3197181476237553
CCC(C)C,72.151,2.0524,0,0.0,1,-0.057402108276567124
COCCCNc1nc(NC(C)C)nc(SC)n1,271.39,1.8621999999999999,9,71.96000000000001,8,0.06289447968151049
COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl,366.0,4.652000000000002,4,27.69,4,-1.446541278744843
CC(O)c1ccccc1,122.16699999999996,1.7399,2,20.23,1,1.021448244045874
CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O ,254.35500000000002,1.5159999999999998,5,58.2,5,-0.19106498378554204
CI,141.939,1.0512000000000001,0,0.0,0,0.9832588510433099
Brc1ccccc1Br,235.90599999999998,3.2116000000000007,0,0.0,0,-0.21015968028682422
CC1(C)CON(Cc2ccccc2Cl)C1=O,239.702,2.6400000000000006,2,29.54,2,0.34454125307542205
CNc1ccccc1,107.15599999999998,1.7283,2,12.03,1,0.8495959755343349
CCN2c1ccccc1N(C)C(=O)c3cccnc23 ,253.30499999999995,2.829600000000001,3,36.44,1,-0.1261430156811827
CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O ,261.11899999999997,1.5785200000000001,4,54.86,2,0.25622828175699214
c1ccc2c(c1)c3cccc4c3c2cc5ccccc54,252.31599999999997,5.640400000000003,0,0.0,0,-2.4681075415634384
CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(OC(F)F)cc3,451.46900000000005,6.627980000000005,5,68.55000000000001,9,-1.8217520649950374
CC(C)c1ccccc1,120.19499999999995,2.8100000000000014,0,0.0,1,-0.10036517540445189
Cc1ccc(cc1)N(=O)=O,137.138,1.90322,2,43.14,1,0.27198140637054985
Cc1ccccc1n3c(C)nc2ccccc2c3=O,250.30100000000002,3.0025400000000015,3,34.89,1,0.06432658191910672
c1ccc2c(c1)ccc3c2ccc4c5ccccc5ccc43,278.354,6.299400000000004,0,0.0,0,-2.2962552730518984
O=c1cc[nH]c(=O)[nH]1 ,112.088,-0.9368000000000001,4,65.72,0,0.7503035537276675
ClC1(C2(Cl)C3(Cl)C4(Cl)C5(Cl)C1(Cl)C3(Cl)Cl)C5(Cl)C(Cl)(Cl)C24Cl,545.5460000000002,6.222999999999999,0,0.0,0,-1.7854721416426012
Clc1ccc(c(Cl)c1)c2cc(Cl)ccc2Cl ,291.99199999999996,5.967200000000002,0,0.0,1,-1.675677636760229
Oc1ccccn1,95.101,0.7871999999999999,3,33.120000000000005,0,1.9475410243580582
CCCOCCC,102.17699999999999,1.823,1,9.23,4,0.6872910552734366
CCSCc1ccccc1OC(=O)NC ,225.313,2.6579000000000006,4,38.33,4,0.46292837138337145
CC12CCC(=O)C=C1CCC3C2CCC4(C)C3CCC4(O)C#C ,312.45300000000003,3.8826000000000027,3,37.3,0,-1.24127329135606
CCCCC1(CC)C(=O)NC(=O)NC1=O,212.249,0.9389999999999998,5,75.27000000000001,4,0.6677189913596224
CCCOC(=O)CC,116.15999999999998,1.3496000000000001,2,26.3,3,1.0691849852990796
Nc1ccccc1O,109.12799999999999,0.9743999999999999,4,46.25,0,1.1169217265522848
Cc1cc(C)c(O)c(C)c1,136.194,2.3174600000000005,2,20.23,0,0.48202306788465366
CN1CC(O)N(C1=O)c2nnc(s2)C(C)(C)C,256.33099999999996,1.0257999999999998,6,69.56,1,0.5646076302526988
CN(C)c2c(C)n(C)n(c1ccccc1)c2=O ,231.299,1.55042,4,30.17,2,1.2868645254136961
CCCOC(=O)CCC,130.18699999999998,1.7397,2,26.3,4,0.6252332916442697
CCCCCCCCCCCCCCCCCCO,270.50099999999986,6.240200000000008,2,20.23,16,-2.5492600016938876
c1cc2ccc3cccc4ccc(c1)c2c34,202.25599999999997,4.584000000000002,0,0.0,0,-1.4875948762226
CC(C)CC(C)C,100.20499999999998,2.6885000000000012,0,0.0,2,-0.5729589138111849
c1cc(O)c(O)c2OCC3(O)CC4=CC(=O)C(O)=CC4=C3c21,300.266,1.3295999999999997,10,107.22000000000001,0,0.17173424973881862
C1c2ccccc2c3ccc4ccccc4c13,216.283,4.411000000000003,0,0.0,0,-1.7281880521387547
C1(=O)NC(=O)NC(=O)C1(O)C2(O)C(=O)NC(=O)NC2(=O),286.156,-4.819399999999998,14,191.0,1,0.5106651126365768
CCCCCCCO,116.204,1.9491,2,20.23,5,0.5965912468923464
CCCCCCCCCCCCCC,198.39399999999995,5.707400000000006,0,0.0,11,-2.3392183401797833
CCOC(=O)NCCOc2ccc(Oc1ccccc1)cc2,301.34200000000004,3.6038000000000023,5,56.790000000000006,7,-0.7830005753252887
CC34CCC1C(CCC2CC(=O)CCC12C)C3CCC4O ,290.44699999999995,3.9591000000000034,3,37.3,0,-0.8035273740641671
c1ccc2c(c1)c3cccc4cccc2c34,202.25599999999997,4.487200000000002,0,0.0,0,-1.4035782116169584
OCC(NC(=O)C(Cl)Cl)C(O)c1ccc(cc1)N(=O)=O,323.13200000000006,0.909,8,112.70000000000002,6,0.4529036557201982
Fc1ccccc1Br,175.0,2.5882000000000005,0,0.0,0,0.17173424973881862
CCCC1C(=O)N3N(C1=O)c2cc(C)ccc2N=C3N(C)C ,300.3620000000001,2.0642199999999997,4,56.220000000000006,2,-0.22829964196304237
CCCCCCCC(=O)OC,158.24099999999999,2.5199000000000007,2,26.3,6,-0.052628434151246475
Clc1ccc(CN(C2CCCC2)C(=O)Nc3ccccc3)cc1,328.84299999999996,5.316700000000004,2,32.34,4,-1.3630019815517338
C1CCc2ccccc2C1,132.20599999999996,2.5654000000000003,0,0.0,0,-0.6254693291897109
CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc12,290.323,2.572400000000001,7,85.25,4,-0.8703588118186544
CON(C)C(=O)Nc1ccc(Cl)cc1,214.652,2.365100000000001,3,41.57,2,0.23379201336798575
NS(=O)(=O)c2cc1c(NCNS1(=O)=O)cc2Cl ,297.745,-0.35129999999999945,8,118.35999999999999,1,0.2051499686160625
